Date : 2022-02-03 00:14:06
Directory : /Users/carltonaikins/Desktop/Home/Programming/projects/elisha
Total : 155 files,  8687 codes, 1965 comments, 1273 blanks, all 11925 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        103 |      6,362 |      1,773 |      1,053 |      9,188 |
| Markdown   |         16 |      1,648 |          1 |        121 |      1,770 |
| JSON       |         12 |        264 |          0 |          4 |        268 |
| XML        |         11 |        166 |         38 |          6 |        210 |
| Groovy     |          3 |         89 |          3 |         20 |        112 |
| YAML       |          4 |         86 |        132 |         39 |        257 |
| Python     |          2 |         49 |         17 |         25 |         91 |
| Swift      |          1 |         14 |          0 |          2 |         16 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        155 |      8,687 |      1,965 |      1,273 |     11,925 |
| .vscodecounter                                                                                                                                          |         16 |      1,577 |          0 |         91 |      1,668 |
| .vscodecounter/2021-11-27_14-23-43                                                                                                                      |          2 |        238 |          0 |         13 |        251 |
| .vscodecounter/2021-12-01_22-39-36                                                                                                                      |          2 |        242 |          0 |         13 |        255 |
| .vscodecounter/2021-12-05_13-56-57                                                                                                                      |          2 |        246 |          0 |         13 |        259 |
| .vscodecounter/2022-01-31_01-22-21                                                                                                                      |          5 |        495 |          0 |         26 |        521 |
| .vscodecounter/2022-02-01_00-26-37                                                                                                                      |          5 |        356 |          0 |         26 |        382 |
| android                                                                                                                                                 |         15 |        242 |         40 |         27 |        309 |
| android/app                                                                                                                                             |         11 |        197 |         39 |         16 |        252 |
| android/app/src                                                                                                                                         |          9 |         98 |         36 |          5 |        139 |
| android/app/src/debug                                                                                                                                   |          1 |          9 |          3 |          1 |         13 |
| android/app/src/main                                                                                                                                    |          7 |         80 |         30 |          3 |        113 |
| android/app/src/main/res                                                                                                                                |          6 |         44 |         18 |          0 |         62 |
| android/app/src/main/res/drawable                                                                                                                       |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-night                                                                                                                 |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-night-v21                                                                                                             |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-v21                                                                                                                   |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/values                                                                                                                         |          1 |         10 |          9 |          0 |         19 |
| android/app/src/main/res/values-night                                                                                                                   |          1 |         10 |          9 |          0 |         19 |
| android/app/src/profile                                                                                                                                 |          1 |          9 |          3 |          1 |         13 |
| android/gradle                                                                                                                                          |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                                                  |          1 |          5 |          1 |          1 |          7 |
| backend                                                                                                                                                 |          5 |          5 |          0 |          0 |          5 |
| ios                                                                                                                                                     |          8 |        283 |          2 |          9 |        294 |
| ios/Runner                                                                                                                                              |          8 |        283 |          2 |          9 |        294 |
| ios/Runner/Assets.xcassets                                                                                                                              |          4 |        200 |          0 |          5 |        205 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                           |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchBackground.imageset                                                                                                    |          1 |         52 |          0 |          1 |         53 |
